user,length_years,missing_samples_pct,p1,p2,p3,p4,p5,p6,cnae,contracted_tariff,zip_code,municipality,num_active_periods,tariff_fixture,cnae_2d,sector
a03e925cd4a4ad10b4fe83cacdb769fe2254a0fcf7158ec6a45bac697453a1d5,3.90691307323751,0.0233590282644242,3.3,3.3,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a03ef806d0c4456f62bdfb0e8bcb41d3f8005bce134e5a1a5de0359e7a693d65,1.29774127310062,0.0263713080168776,4.6,4.6,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a041de6de5bb9ec004a6c3373f3e862cdbb070e6d364f9b3855fc36726cc5285,2.74880219028063,0.0166002656042497,3.4,3.4,,,,,9820,2_active_periods,31014.0,Pamplona/Iruna,2,1-1-0-0-0-0,98,Household production
a043bbb1ea2d902426567511b07382281beedb44e1282bc1bdc883834398d5cd,5.01300479123888,0.184325505188422,4.4,4.4,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a044ffe5b74bc22b45d08e1dfe8c224c45ababc714a2e01fce98c2fe8577b8b2,2.18754277891855,0.0260742594910305,5.7,5.7,,,,,9820,2_active_periods,1003.0,Vitoria-Gasteiz,2,1-1-0-0-0-0,98,Household production
a0473f2d2d7ff98d63bf53fc386f7b571cc4a36715435dfc34a32115a874a977,5.01300479123888,0.129710540688149,3.3,3.3,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a048fb5f559470223883471365d888be491e68e9c472d6d1fed07627d194bdb5,4.78302532511978,4.48149208166381,2.3,2.3,,,,,9810,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a04cdbdd4db7821ec9e210c1059cd559db7847fe9abba9cfb6e0d5480be37828,1.56331279945243,0.0218914185639229,6.0,6.0,,,,,4614,2_active_periods,,,2,1-1-0-0-0-0,46,Wholesale trade
a04f88520298390eef4a58abd6dc8def698a48782e046e258f53730e16d2cdd7,3.68788501026694,0.0247463499133878,10.392,10.392,,,,,9810,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a058fa98facc444f6ac83275b5a6ed83c93d94d961fddcd0d187eb9d558a5460,4.40520191649555,0.0207168013258753,3.3,3.3,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a0600d17ef6533e6719c85ea8d1920c9a2c6966070f73e0b913fe05079767390,3.43874058863792,0.0232218683651805,3.45,3.45,,,,,9810,2_active_periods,20011.0,Donostia/San Sebastian,2,1-1-0-0-0-0,98,Household production
a063b3656e75c5287dd0e1afc22235a146ce0d1891c5c01d525735107e283399,1.75222450376454,0.0260416666666667,3.4,3.4,,,,,9820,2_active_periods,48007.0,Bilbao,2,1-1-0-0-0-0,98,Household production
a06655e13d35914dfb86d5618d480aedefc77b3db72a1b6c5945f933de855447,3.69062286105407,0.0247279920870425,4.6,4.6,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a068b54cfa1f7f48dd8d797f89cb13182e15e826f0d9f354ff26ce0259a5902a,5.01574264202601,0.402565502183406,4.6,4.6,,,,,9820,2_active_periods,31001.0,Pamplona/Iruna,2,1-1-0-0-0-0,98,Household production
a06ecb106e492e7aa1ff8e8672774935e3cf66ecb1ca67625e7474313c3f8517,2.57631759069131,0.0221395678356358,3.2,4.6,,,,,9820,2_active_periods,1015.0,Vitoria-Gasteiz,2,1-1-0-0-0-0,98,Household production
a070a06ff68b4f5d586f71d89c8735c7747a3e6b558fbf8a0b7cd831df3c7e7f,1.43189596167009,0.0239005736137667,3.6,3.6,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a0711c1e7240ce0b2adf93e49f89935b54e6e1b599af1c901fcd25d432db8418,2.29158110882957,0.0248904818797292,3.9,3.9,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a072c6a57d9e1cca8ad18480791571e5077fa9228a755ce786a477bf5b22f6e0,2.31622176591376,0.0246256895193065,15.001,15.001,15.001,15.001,15.001,15.001,8411,6_active_periods,,,6,1-1-1-1-1-1,84,Public administration
a072d7bb0a9d44fd104b996c6e773163bbea19181fef87416539685fd75b14b9,4.99657768651609,1.5,2.3,2.3,,,,,9820,2_active_periods,1005.0,Vitoria-Gasteiz,2,1-1-0-0-0-0,98,Household production
a0795b5b64cff0ff4e123d66e4760656dac62551dcce5347a46476299f8d9ac8,1.2621492128679,0.0271149674620391,3.3,3.3,,,,,9821,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a07a2ee568b0a578cdb158fcd2d0c428022bf497741b640ffce0588557f5a818,4.96919917864476,0.130853994490358,3.45,3.45,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a07a6702e9ca2844137d503dc9c5f46ab0f306577f29dca1144255dff86e9295,5.01300479123888,0.596213362461314,4.6,4.6,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a07f285762d001c600f302f83f42df8332571812c2a4011cae9a7f8079020ba5,3.03353867214237,0.0188026474127557,2.6,,,,,,8129,1_active_periods,,,1,1-0-0-0-0-0,81,Cleaning and maintenance
a0821a5df47349834d5573f9bdce21d6ed6441a3fc116dfdd310837d8790c8f3,2.80903490759754,0.0243664717348928,4.4,4.4,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a0843c9bef05098dd67ee5ee76184f66f928b5ac4e62c772db36bcfd2769d2f1,4.86242299794661,0.072728978978979,1.5,1.5,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a085faa32e62c644fa16d541b05bd637ce8e81525c39a04a3eb5c4f6a1f10da6,5.01300479123888,0.104678681958857,3.3,3.3,,,,,9820,2_active_periods,48007.0,Bilbao,2,1-1-0-0-0-0,98,Household production
a08cd8e75f18773debae7803a3c4645fd294633ffe284ac861fa930166198b66,3.37850787132101,0.020259319286872,3.3,3.3,,,,,9820,2_active_periods,31012.0,Pamplona/Iruna,2,1-1-0-0-0-0,98,Household production
