sector,date,avg_kwh,std_kwh,n_users
Household production,2021-04-16,0.2667547166757309,0.4179884784601599,12871
Household production,2021-04-17,0.284805975319193,0.4091655584043657,12871
Household production,2021-04-18,0.2774700870888371,0.3841837030079794,12870
Household production,2021-04-19,0.2669195043382543,0.4079701159077607,12870
Household production,2021-04-20,0.26242978604916206,0.3897193374626888,12869
Household production,2021-04-21,0.255581681950057,0.3674810755518818,12868
Household production,2021-04-22,0.2514638136592063,0.3511934051455116,12868
Household production,2021-04-23,0.2398975721427831,0.34822059625689683,12868
Household production,2021-04-24,0.24233430635426376,0.32664422809879323,12868
Household production,2021-04-25,0.2577037792806799,0.3215355701511962,12864
Household production,2021-04-26,0.2529867977819237,0.35491406939898673,12864
Household production,2021-04-27,0.25684227462945686,0.3774144141535567,12864
Household production,2021-04-28,0.25969965858146105,0.36785749922244926,12863
Household production,2021-04-29,0.2662204507463847,0.38423334238559603,12862
Household production,2021-04-30,0.2655745910775851,0.3937946623932275,12859
Household production,2021-05-01,0.27814304162129927,0.47300730596736845,12858
Household production,2021-05-02,0.2717346662648103,0.47832101063794746,12857
Household production,2021-05-03,0.2627003513001996,0.49894684492403885,12857
Household production,2021-05-04,0.25315833787042075,0.48505769334470134,12857
Household production,2021-05-05,0.2527621652017216,0.4803775616902397,12856
Household production,2021-05-06,0.2458627113479591,0.48046782243940656,12854
Household production,2021-05-07,0.23567520133053216,0.4716063844291336,12852
Household production,2021-05-08,0.23315488672320778,0.458580926339612,12852
Household production,2021-05-09,0.25113309275542756,0.3279195265917659,12851
Household production,2021-05-10,0.23837497892511605,0.3514385635025748,12851
Household production,2021-05-11,0.23811265822374392,0.3506310370375183,12851
Household production,2021-05-12,0.24528404609956675,0.35740535819713176,12849
Household production,2021-05-13,0.24782278370174343,0.365032172975658,12848
Household production,2021-05-14,0.23701067286737232,0.35934030740549755,12848
Household production,2021-05-15,0.23964136603621833,0.35828056805134534,12848
Household production,2021-05-16,0.2580640929559552,0.3377073601131613,12843
Household production,2021-05-17,0.24161208115964594,0.34961809460497906,12843
Household production,2021-05-18,0.24690542513431438,0.3558384187905317,12843
Household production,2021-05-19,0.2410075993562287,0.3656102544432954,12841
Household production,2021-05-20,0.23125789950159642,0.3524403330877602,12841
Household production,2021-05-21,0.23830729166666662,0.3600863313224773,12840
Household production,2021-05-22,0.24269231156202936,0.3494327830753594,12838
Household production,2021-05-23,0.2365308800046736,0.31804474278446615,12838
Household production,2021-05-24,0.250468115490471,0.3559723664063053,12838
Household production,2021-05-25,0.24093596971231238,0.35062939174662255,12838
Household production,2021-05-26,0.23740049073064337,0.3554933500388552,12838
Household production,2021-05-27,0.23036110840604548,0.35094578236382223,12836
Household production,2021-05-28,0.22543137302638408,0.3530051664491338,12836
Household production,2021-05-29,0.22349537596083927,0.3419464758601154,12836
Household production,2021-05-30,0.22516239320400952,0.31760749022838536,12836
Household production,2021-05-31,0.22962862332881223,0.33465657905208795,15483
Household production,2021-06-01,0.2307050209774145,0.385446856636348,14384
Household production,2021-06-02,0.2227581512935215,0.3706413977566316,14404
Household production,2021-06-03,0.2346822861542389,0.3733860064737367,14419
