model,city,feature,mape_increase,importance_pct
Random Forest,Pamplona/Iruna,dod_change,0.029660931087291332,0.30674598194301983
Ridge,Pamplona/Iruna,is_weekend,3.0797097863579834,21.38193590094392
Ridge,Pamplona/Iruna,is_holiday_es,0.5983811078141573,4.1544649915694665
Ridge,Pamplona/Iruna,is_bridge_day,0.036541213826289366,0.253699843809109
Ridge,Pamplona/Iruna,sin_dow,0.10226960126101092,0.7100415982260497
Ridge,Pamplona/Iruna,cos_dow,0.47053364621164795,3.266840371486031
Ridge,Pamplona/Iruna,sin_month,-0.03203457911281147,0.0
Ridge,Pamplona/Iruna,cos_month,-0.005015946733750365,0.0
Ridge,Pamplona/Iruna,sin_week,0.03044879482501539,0.21140114633314147
Ridge,Pamplona/Iruna,cos_week,0.17309205316255216,1.2017506331534125
Ridge,Pamplona/Iruna,lag_1d,9.457723878844604,65.6634747345559
Ridge,Pamplona/Iruna,lag_7d,0.02711672631120088,0.18826712386922945
Ridge,Pamplona/Iruna,lag_14d,0.14047715660796004,0.975310586550546
Ridge,Pamplona/Iruna,lag_30d,0.1572654176678352,1.0918688166346444
Ridge,Pamplona/Iruna,roll7_mean,0.011437510409459683,0.07940881817005686
Ridge,Pamplona/Iruna,roll7_std,0.008645483904360684,0.06002422159858502
Ridge,Pamplona/Iruna,roll30_mean,0.00884255327900707,0.06139244296651826
Ridge,Pamplona/Iruna,roll7_ratio,0.07676344715142047,0.5329564213478065
Ridge,Pamplona/Iruna,wow_change,7.064557079328182e-05,0.0004904809774864818
Ridge,Pamplona/Iruna,dod_change,0.024006291328208817,0.16667186780809254
N-BEATS v2,Pamplona/Iruna,is_weekend,0.13043447767633376,5.186418364367139
N-BEATS v2,Pamplona/Iruna,is_holiday_es,0.056056660622246124,2.228960465635112
N-BEATS v2,Pamplona/Iruna,is_bridge_day,-0.009149502238166995,0.0
N-BEATS v2,Pamplona/Iruna,sin_dow,0.72537548058925,28.84283956673771
N-BEATS v2,Pamplona/Iruna,cos_dow,0.4477881545979724,17.805236389384326
N-BEATS v2,Pamplona/Iruna,sin_month,0.15691262282430357,6.239259152295759
N-BEATS v2,Pamplona/Iruna,cos_month,0.02724642584068295,1.083389651731056
N-BEATS v2,Pamplona/Iruna,sin_week,0.16874036796777164,6.709561450537471
N-BEATS v2,Pamplona/Iruna,cos_week,0.14713483385152282,5.850468510475005
N-BEATS v2,Pamplona/Iruna,lag_1d,0.02619262838540095,1.0414878894687796
N-BEATS v2,Pamplona/Iruna,lag_7d,0.04276186354872724,1.700324318804866
N-BEATS v2,Pamplona/Iruna,lag_14d,0.02152919920972849,0.8560576631320692
N-BEATS v2,Pamplona/Iruna,lag_30d,0.17017550399452616,6.766626238752398
N-BEATS v2,Pamplona/Iruna,roll7_mean,-0.04097451587936849,0.0
N-BEATS v2,Pamplona/Iruna,roll7_std,0.049909192933330446,1.9845209594237045
N-BEATS v2,Pamplona/Iruna,roll30_mean,-0.007279013966062564,0.0
N-BEATS v2,Pamplona/Iruna,roll7_ratio,0.03708156009428611,1.4744604929505083
N-BEATS v2,Pamplona/Iruna,wow_change,0.29647785554444256,11.788740385341226
N-BEATS v2,Pamplona/Iruna,dod_change,0.01110712393265576,0.4416485009628689
